Concelho Datahora M* FG* Via,km,Natureza
Ponte de Lima 2006:11:15 19:30:00 0 1 R. Agostinho José Tavares,,Atrop.de peões
Valença 2006:01:11 05:40:00 1 1 EN13,"117,700",Colisão frontal
Valença 2006:02:11 18:30:00 1 0 Estrada Municipal,,Despiste simples
Valença 2006:04:16 20:30:00 0 1 Estrada Municipal,,Despiste simples
Valença 2006:09:13 09:30:00 0 1 R. do Cais,,Colisão frontal
Valença 2006:11:07 17:00:00 0 2 Estrada Municipal,,Colisão frontal
Valença 2006:12:01 19:25:00 1 0 EN201,"1,200",Col.tras.c/outro veíc.em mov.
Valença 2006:12:24 15:15:00 0 2 EN13,"116,600",Col.lat.c/outro veíc.em mov.
Viana do Castelo 2006:02:12 19:40:00 0 2 A28,"74,000",Desp.c/capotamento
Viana do Castelo 2006:02:23 14:20:00 1 0 EN305,,Desp.c/capotamento
Viana do Castelo 2006:04:04 17:00:00 1 0 EN13,"70,000",Colisão frontal
Viana do Castelo 2006:04:05 14:00:00 1 0 EN103,"2,200",Colisão frontal
Viana do Castelo 2006:06:01 18:50:00 0 1 ACC-A28,"0,200",Col.lat.c/outro veíc.em mov.
Viana do Castelo 2006:06:10 22:00:00 1 0 EN202,"4,100",Colisão frontal
Viana do Castelo 2006:06:14 22:25:00,,0,2,EN13,"58,300",Colisão frontal
Viana do Castelo 2006:07:12 20:00:00,,0,2,EN13,"77,300",Colisão frontal
Viana do Castelo 2006:07:23 15:00:00,,0,1,EN13,"63,200",Col.tras.c/outro veíc.em mov.
Viana do Castelo 2006:07:26 22:15:00,,1,0,EN202,"1,700",Atrop.de peões
Viana do Castelo 2006:08:24 18:40:00,,0,1,EN203,"2,063",Col.lat.c/outro veíc.em mov.
* M=mortos; FG=feridos graves,,,,,,
Concelho,Datahora,M,FG,,Via,km,Natureza
Viana do Castelo,2006:09:03 01:00:00,1,1,EN203,,"8,900",Despiste simples
Viana do Castelo,2006:09:09 20:30:00,0,1,Av. Moldes,,,Colisão frontal
Viana do Castelo,2006:09:09 21:30:00,0,1,R. Frei Luís de Sousa,,,Colisão frontal
Viana do Castelo,2006:10:13 07:54:00,0,1,EN203,,"10,580",Col.lat.c/outro veíc.em mov.
Viana do Castelo,2006:10:21 21:00:00,1,0,EN13,,"73,500",Atrop.de peões
Viana do Castelo,2006:10:30 22:00:00,0,1,ACC-A28,,"0,400",Atrop.de peões
Viana do Castelo,2006:11:21 08:45:00,0,3,A28,,"0,400",Col.tras.c/outro veíc.em mov.
Viana do Castelo,2006:12:13 08:00:00,1,0,EN202,,"5,100",Colisão frontal
Viana do Castelo,2006:12:24 18:00:00,0,1,R. Valverde,,,Atrop.de peões
,2006:12:25 19:40:00,,,,,,
Viana do Castelo,2006:12:25 19:40:00,0,1,A28,"68,500",Col.tras.c/outro veíc.em mov.
V. N. de Cerveira,2006:02:28 22:50:00,0,1,EN13,"100,419",Colisão frontal
V. N. de Cerveira,2006:04:11 15:45:00,0,1,EN13,"109,000",Col.lat.c/outro veíc.em mov.
V. N. de Cerveira,2006:09:22 17:10:00,1,0,EN13,"109,040",Col.lat.c/outro veíc.em mov.
