Concelho Datahora M* FG* Via,km,Natureza
Mac. de Cavaleiros 2006:08:08 17:30:00 0 3 EN217,"63,000",Despiste simples
Mac. de Cavaleiros 2006:08:30 19:00:00 0 1 EM564,,Despiste simples
Mac. de Cavaleiros 2006:09:17 01:11:00 2 1 EN206,"203,000",Desp. c/ capotamento
Mac. de Cavaleiros 2006:12:18 12:45:00 1 0 Estrada Municipal,,Desp. c/ capotamento
Miranda do Douro 2006:02:19 16:45:00 0 2 EN221,"18,600",Desp. c/ capotamento
Miranda do Douro 2006:06:13 22:55:00 0 3 EN221,"4,200",Desp. c/ capotamento
Miranda do Douro 2006:08:17 16:14:00 0 1 R. Maria Alves,,Col. c/ outras situações
Miranda do Douro 2006:08:27 04:05:00 0 1 Av. Arando Douro,,Despiste simples
Miranda do Douro 2006:09:22 01:45:00 0 1 EM1124,,Desp. c/ capotamento
Mirandela 2006:01:30 11:30:00 1 2 R. República,,Despiste simples
Mirandela 2006:05:17 08:45:00 0 1 EN213,"50,550",Col.lat. c/ veic. em mov.
Mirandela 2006:05:18 05:00:00 0 1 EN315,"22,700",Despiste simples
Mirandela 2006:05:19 15:50:00 0 2 IP4,"163,000",Colisão frontal
Mirandela 2006:07:08 18:00:00 1 1 EN213,"59,300",Colisão frontal
Mirandela 2006:08:10 06:50:00 0 1 EN206,"194,200",Atropelamento peões
Mirandela 2006:08:10 13:30:00 1 0 Estrada Municipal,,Despiste simples
Mirandela 2006:09:19 20:00:00 0 1 Av. 25 de Abril,,Atropelamento peões
Mirandela 2006:09:28 18:45:00 0 1 Estrada Municipal,,Colisão frontal
Mirandela 2006:10:22 03:15:00 1 1 EN315,"21,850",Col.lat. c/ veic. em mov.
Mirandela 2006:10:25 01:10:00 0 1 IP4,"142,500",Colisão frontal
Mirandela 2006:12:03 06:15:00 0 1 EN315,,Desp. c/ capotamento
Mogadouro,2006:05:27 14:40:00,0,2,Estrada Municipal,,Desp. c/ capotamento
Mogadouro,2006:06:10 10:30:00,1,0,Rot. Bombeiro,,Atropelamento peões
Mogadouro,2006:08:20 06:30:00,0,1,EN221,"39,000",Col.lat. c/ veic. em mov.
Mogadouro,2006:09:29 08:10:00,0,2,EN221,"39,900",Colisão frontal
Mogadouro,2006:09:29 14:50:00,1,0,EM600,,Desp. c/ capotamento
Concelho,Datahora,M,FG,,Via,km,Natureza
Mogadouro,2006:11:11 18:15:00,1,0,EN221,,"42,200",Col. traseira c/ veic. em mov.
Mogadouro,2006:11:18 03:10:00,1,1,EN221,,"24,600",Despiste simples
Torre de Moncorvo,2006:07:26 05:30:00,1,0,EN220,,"25,000",Atropelamento peões
Torre de Moncorvo,2006:09:17 09:00:00,1,0,Estrada Municipal,,,Desp. c/ capotamento
Torre de Moncorvo,2006:12:15 18:00:00,0,1,EN220,,,Desp.c/ transpos. disp. ret. lateral
Vila Flor,2006:08:17 18:30:00,1,0,EN214,,"43,000",Despiste simples
Vila Flor,2006:10:25 16:00:00,0,1,EM604,,,Desp. s/ dispos. retenção
Vila Flor,2006:10:31 17:15:00,0,1,EN102,,"35,350",Colisão frontal
Vila Flor,2006:12:22 18:15:00,1,0,EN214,,"35,580",Col. traseira c/ veic. em mov.
Vimioso,2006:09:27 15:40:00,0,1,EM546,,,Col.lat. c/ veic. em mov.
Vimioso,2006:10:18 09:30:00,0,1,EM569,,,Despiste simples
Vinhais,2006:04:25 10:45:00,0,1,Estrada Nacional,,,Col. traseira c/ veic. em mov.
Vinhais,2006:04:25 16:50:00,1,0,EM1014,,,Desp. c/ capotamento
Vinhais,2006:04:30 02:00:00,0,1,EN206,,"208,700",Desp. c/ capotamento
Vinhais,2006:07:31 15:30:00,0,1,EM505,,,Despiste simples
Vinhais,2006:09:15 13:00:00,1,0,EN103,"236,200",Col.c/ veic. ou obst. faixa rod.
Vinhais,2006:11:24 08:30:00,1,0,EN308,"211,800",Desp. s/ dispos. retenção
Vinhais,2006:12:17 20:50:00,0,1,EM509,,Desp. c/ capotamento
Vinhais,2006:12:17 22:15:00,0,1,EM1015,,Desp. s/ dispos. retenção
