Tondela,2007:08:10 22:05:00,0,1,AV DR AFONSO COSTA,,Col. lat. c/ outro veíc. mov.
Tondela,2007:09:02 19:15:00,0,1,R 10 JUNHO,,Atropelamento peões
Tondela,2007:09:24 16:45:00,1,0,Estrada Florestal,,Despiste com capotamento
Tondela,2007:09:30 10:30:00,0,1,R DR ADRIANO MARQUES COSTA,,Colisão frontal
Tondela,2007:10:20 22:00:00,0,1,AV IMIGRANTE,,Despiste simples
Viseu,2007:10:29 13:30:00,0,1,EN2,"164,400",Despiste com capotamento
Viseu,2007:11:19 15:00:00,2,1,A24,"154,900",Despiste com capotamento
Viseu,2007:11:02 16:15:00,1,0,IP5,"95,325",Colisão frontal
Viseu,2007:10:12 08:20:00,0,1,EN16,"94,200",Atropelamento peões
Viseu,2007:09:17 09:25:00,1,0,EN16,"91,100",Colisão frontal
Viseu,2007:09:06 13:45:00,0,1,EN16,"90,150",Col. lat. c/ outro veíc. mov.
Viseu,2007:12:21 20:35:00,0,1,EN229,"85,900",Colisão com fuga
Viseu,2007:07:30 06:40:00,1,0,EN229,"82,088",Col. lat. c/ outro veíc. mov.
Viseu,2007:11:20 10:35:00,1,0,EN16,"79,550",Colisão frontal
Viseu,2007:03:18 02:25:00,0,1,EN229,"76,700",Despiste com capotamento
Viseu,2007:02:08 11:50:00,0,1,EN229,"76,650",Col. lat. c/ outro veíc. mov.
Concelho,Datahora,M,FG,,Via,km,Natureza
Viseu,2007:07:03 17:40:00,1,0,A25,,"75,000",Desp. c/ col c/ veíc. imob/obst.
Viseu,2007:01:27 03:00:00,1,0,EN231-1,,"7,000",Despiste com capotamento
Viseu,2007:01:13 18:00:00,1,0,EN337-1,,"5,500",Atropelamento peões
Viseu,2007:03:09 13:45:00,0,1,ESTR NELAS,,,Col. tras. c/ outro veíc. mov.
Viseu,2007:03:21 17:30:00,0,1,ESTR CIRCUNVALAÇÃO,,,Atropelamento peões
Viseu,2007:03:30 20:15:00,1,0,AV LUIS MARTINS,,,Col. tras. c/ outro veíc. mov.
Viseu,2007:04:08 22:00:00,1,0,AV CIDADE AVEIRO,,,Col. tras. c/ outro veíc. mov.
Viseu,2007:04:18 17:30:00,0,1,R MENDONÇA,,,Atropelamento peões
Viseu,2007:04:20 07:50:00,0,2,Estrada Municipal,,,Colisão frontal
Viseu,2007:05:10 01:10:00,0,1,R CAMPO BOLA,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:05:16 17:50:00,0,1,R PEDRAS ALÇADAS,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:06:24 14:45:00,0,1,R PRINCIPAL,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:07:08 20:20:00,0,1,R NOVA SANTIAGO,,,Atropelamento peões
Viseu,2007:07:12 22:15:00,0,1,ESTR NELAS,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:07:12 22:20:00,0,1,AV LUIS MARTINS,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:07:18 09:40:00,0,1,LG SRA CONCEIÇÃO,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:08:27 19:05:00,0,1,R PRINCIPAL LORDOSA,,,Col. tras. c/ outro veíc. mov.
Viseu,2007:09:01 20:30:00,0,2,ROT FABRICA RESINA,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:10:11 02:20:00,0,1,AV DR ANTONIO JOSE ALMEIDA,,,Col. lat. c/ outro veíc. mov.
Viseu,2007:11:20 22:40:00,0,1,ESTR SATÃO,,,Atropelamento peões
Viseu,2007:12:23 19:15:00,0,2,Estrada Municipal,,,Colisão frontal
Vouzela,2007:12:01 13:40:00,1,1,A25,,"64,700",Atropelamento peões
Vouzela,2007:12:01 13:30:00,1,0,A25,,"63,960",Despiste simples
Vouzela,2007:06:25 19:30:00,1,0,EN333,"63,103",Colisão frontal
Vouzela,2007:05:11 08:30:00,0,1,EN333,"4,700",Col. lat. c/ outro veíc. mov.
Vouzela,2007:02:07 10:20:00,0,2,EN333-3,"2,600",Despiste simples
Vouzela,2007:07:07 02:30:00,0,1,EN333-2,"1,200",Despiste simples
