Concelho Datahora M* FG* Via,km,Natureza
Albufeira 2006:02:01 00:50:00 0 1 R. Alves Correia,,Desp. c/ capotamento
Albuf eira 2006:02:04 15:30:00 0 1 A2,"236,200",Desp. c/ capotamento
Albufeira 2006:04:12 02:15:00 0 1 Estr. Vale Pedras,,Despiste simples
Albufeira 2006:05:14 22:20:00 0 2 EN125,"69,800",Col.lat. c/ veic. em mov.
Albufeira 2006:06:09 15:50:00 0 1 A2,"231,000",Desp. c/ capotamento
Albufeira 2006:06:15 02:35:00 2 0 EN125,"74,800",Colisão frontal
Albufeira 2006:06:19 01:15:00 0 1 EN270,"12,013",Despiste simples
Albufeira 2006:07:07 12:20:00 0 1 Ladeira Eucaliptos,,Col.lat. c/ veic. em mov.
Albufeira 2006:07:15 17:20:00 0 2 EN395,"59,500",Col.lat. c/ veic. em mov.
Albufeira 2006:09:16 20:15:00 0 1 EM526-1,,Col.lat. c/ veic. em mov.
Albufeira 2006:09:22 17:30:00 1 0 Estrada Municipal,,Despiste simples
Albufeira 2006:10:07 23:45:00 0 1 EN125,"68,630",Atropelamento peões
Albufeira 2006:11:23 06:35:00 1 0 EN395,"60,970",Colisão c/ fuga
Albufeira 2006:12:21 17:20:00 0 1 EN395,"56,200",Desp. s/ dispos. retenção
Albufeira 2006:12:22 01:00:00 1 0 EM526,,Col.lat. c/ veic. em mov.
Albufeira 2006:12:30 11:30:00 0 1 R. António Silva,,Atropelamento peões
Alcoutim 2006:12:25 16:30:00 0 1 Estrada Municipal,,Desp. c/ capotamento
Aljezur 2006:06:15 08:30:00 0 1 EN120,"149,450",Colisão frontal
Aljezur 2006:06:15 13:45:00 0 1 EN120,"145,400",Colisão frontal
Aljezur 2006:06:28 14:30:00 0 1 Estrada Municipal,,Desp.c/ col. c/ veic. imob. ou obst.
Aljezur 2006:07:13 15:30:00 0 1 EN120,"139,900",Colisão frontal
Aljezur 2006:08:04 17:30:00 0 1 EN120,"131,600",Col.lat. c/ veic. em mov.
Aljezur 2006:10:22 07:00:00 0 2 EM1003,,Desp.c/ col. c/ veic. imob. ou obst.
Aljezur 2006:12:18 07:55:00 0 1 EN120,"140,000",Desp. c/ capotamento
Castro Marim 2006:07:18 16:20:00 1 0 ACC-A22,,Desp.c/ transpos. disp. ret. lateral
Castro Marim 2006:10:24 17:00:00 0 1 A22,,Col.lat. c/ veic. em mov.
Castro Marim 2006:12:17 14:30:00 0 1 EN125,"152,300",Col.lat. c/ veic. em mov.
Faro 2006:02:01 10:40:00 0 1 Estr. S. Brás,,Colisão choque em cadeia
Faro 2006:02:11 03:30:00 0 1 EM516,,Despiste simples
Faro 2006:02:11 20:15:00 0 1 R. Faro,,Despiste simples
Faro 2006:02:14 14:34:00 1 0 EN2,"732,000",Col. traseira c/ veic. em mov.
Faro 2006:02:28 16:15:00 1 0 EN125,,Despiste simples
Faro 2006:03:15 17:30:00 0 1 R. Cemitério,,Colisão c/ outras situações
Faro 2006:03:16 01:20:00 0 1 R. 1o de Maio/Tv. Ivens,,Atropelamento peões
Faro 2006:03:18 15:45:00 0 1 EM519-1,,Desp.c/ col. c/ veic. imob. ou obst.
Faro 2006:03:29 18:50:00 0 1 EN2,"735,600",Colisão frontal
Faro 2006:04:07 16:07:00 1 2 EN125,,Colisão frontal
Faro 2006:04:09 03:55:00 0 2 R. Prof. Alberto Uva,,Atropelamento c/ fuga
Faro 2006:04:14 12:20:00 0 1 EM2010,,Desp. s/ dispos. retenção
Faro 2006:05:01 14:45:00 0 1 Av. Cidade Hayward,,Col.lat. c/ veic. em mov.
Faro 2006:05:09 19:00:00 0 1 Estrada Municipal,,Colisão frontal
Faro 2006:05:21 13:40:00 0 1 Zona Industrial,,Desp. s/ dispos. retenção
Faro 2006:06:02 17:30:00 0 1 EN2,"729,850",Col.lat. c/ veic. em mov.
Faro 2006:06:05 18:25:00 1 0 EM518,,Atropelamento peões
Faro 2006:06:22 18:30:00 0 1 EM519-2,,Colisão frontal
Faro 2006:06:23 19:00:00 0 1 EM518,,Col.lat. c/ veic. em mov.
Faro 2006:06:29 19:40:00 0 3 EM520-1,,Colisão frontal
Faro 2006:06:29 22:25:00 0 1 EM2022,,Desp. s/ dispos. retenção
Faro 2006:07:02 16:50:00 0 1 A22,"80,090",Desp.c/ col. c/ veic. imob. ou obst.
Faro 2006:07:22 06:48:00 0 1 Av. República,,Col.lat. c/ veic. em mov.
Faro 2006:07:26 22:30:00 0 1 EN125-10,"0,500",Despiste simples
Faro 2006:07:29 19:50:00 0 3 EM2004,,Desp.c/ col. c/ veic. imob. ou obst.
Faro,2006:08:11 23:35:00,0,1,EM2023,,Atropelamento peões
Faro,2006:08:25 09:10:00,0,1,Av. Calouste Gulbenkian,,Col.lat. c/ veic. em mov.
Faro,2006:09:08 08:00:00,0,1,Av. 5 de Outubro,,Col.lat. c/ veic. em mov.
Faro,2006:09:24 21:00:00,0,1,A22,"79,750",Despiste simples
Faro,2006:10:10 22:40:00,0,1,EM520-2,,Despiste simples
Loulé,2006:07:08 10:20:00,0,1,EN396,"18,900",Col.lat. c/ veic. em mov.
Concelho,Datahora,M,FG,,Via,km,Natureza
Loulé,2006:07:20 13:00:00,0,2,EN125,,"95,300",Col.lat. c/ veic. em mov.
Loulé,2006:07:23 16:30:00,0,1,EN125,,"79,500",Col.lat. c/ veic. em mov.
Loulé,2006:07:27 20:50:00,0,1,Estrada Municipal,,,Atropelamento peões
Loulé,2006:07:29 05:50:00,0,4,EN396,,"21,800",Colisão frontal
Loulé,2006:07:31 11:24:00,1,2,Estrada Municipal,,,Desp. c/ capotamento
Loulé,2006:08:03 11:49:00,0,3,R. N. Sra. Piedade,,,Colisão frontal
Loulé,2006:08:06 05:30:00,0,2,EN270,,"21,300",Colisão frontal
Loulé,2006:08:08 02:30:00,0,1,EN396,,"17,400",Desp. s/ dispos. retenção
Loulé,2006:08:14 10:30:00,0,2,EN125,,"90,800",Colisão frontal
Loulé,2006:08:19 19:35:00,0,1,EN2,,"707,000",Despiste simples
Loulé,2006:08:21 11:00:00,0,2,EN270,,"18,950",Col. traseira c/ veic. em mov.
Loulé,2006:08:26 10:25:00,0,1,R. Nuno Mascarenhas,,,Atropelamento peões
Loulé,2006:08:29 16:40:00,0,1,R. Humberto Delgado,,,Colisão frontal
Loulé,2006:09:04 16:40:00,0,2,EM527,,,Col.lat. c/ veic. em mov.
Loulé,2006:09:09 05:15:00,2,2,EN125,,"94,600",Despiste simples
Loulé,2006:09:20 14:30:00,0,1,EN270,,"19,500",Despiste simples
Loulé,2006:09:28 16:20:00,0,2,EN125,,"83,600",Colisão c/ outras situações
Loulé,2006:09:30 18:40:00,0,1,Lg. Gago Coutinho,,,Atropelamento peões
Loulé,2006:10:02 18:45:00,0,1,EN125,,"94,500",Col.lat. c/ veic. em mov.
Loulé,2006:10:05 18:00:00,0,1,EM1305,,,Desp. c/ capotamento
Loulé,2006:10:08 18:10:00,0,1,EN396,,"14,500",Desp.c/ col. c/ veic. imob. ou obst.
Loulé,2006:10:14 06:45:00,0,1,Estrada Municipal,,,Colisão c/ fuga
Loulé,2006:10:25 17:15:00,0,1,EN125-4,,"5,700",Col.c/ veic. ou obst. faixa rod.
Loulé,2006:11:04 15:20:00,0,1,EN125,,"94,000",Col. traseira c/ veic. em mov.
Loulé,2006:11:28 09:25:00,0,1,Variante,,,Despiste simples
Loulé,2006:11:30 11:20:00,1,0,Estrada Municipal,,,Col. traseira c/ veic. em mov.
Loulé,2006:12:01 23:35:00,0,1,EN125,,"82,650",Atropelamento peões
Loulé,2006:12:13 16:50:00,0,1,EN125,,"102,030",Col.lat. c/ veic. em mov.
Monchique,2006:04:09 04:00:00,0,1,R. Eiras,,,Desp. c/ capotamento
Monchique,2006:07:08 20:00:00,0,1,EN266,,"51,400",Desp. c/ capotamento
Monchique,2006:09:12 12:45:00,0,1,EN267,,"45,600",Desp. c/ capotamento
Olhão,2006:02:11 09:25:00,0,1,Av. República,,,Atropelamento peões
Olhão,2006:04:30 07:15:00,0,2,EN125,,"122,400",Despiste simples
Olhão,2006:05:06 03:00:00,0,1,EM1323,,,Desp. s/ dispos. retenção
Olhão,2006:05:13 02:45:00,1,0,Estr. Bramc.,,,Despiste simples
Olhão,2006:05:14 21:20:00,0,1,R. Ferrarias,,,Atropelamento peões
Olhão,2006:05:15 14:45:00,0,1,EN398,,"4,350",Desp. c/ capotamento
Olhão,2006:05:16 20:50:00,0,1,EN125,,"111,500",Despiste simples
Olhão,2006:06:07 21:03:00,0,1,R. Hospital S. João Deus,,,Atropelamento peões
Olhão,2006:06:30 16:05:00,0,1,Estrada Municipal,,,Colisão frontal
Olhão,2006:07:05 22:40:00,1,0,EN125,,"111,050",Atropelamento peões
Olhão,2006:08:03 16:30:00,0,2,EN125,,"118,500",Col.lat. c/ veic. em mov.
Olhão,2006:08:18 17:15:00,0,3,EN398,,"6,000",Colisão frontal
Olhão,2006:08:27 18:40:00,0,1,R. Joaquim Ribeiro,,,Atropelamento peões
Olhão,2006:09:17 20:20:00,1,0,Av. Calouste Gulbenkian,,,Atropelamento animais
Olhão,2006:10:04 23:10:00,0,2,EM516,,,Colisão frontal
Olhão,2006:11:02 08:15:00,0,3,R. Ponte Grande,,,Colisão frontal
Olhão,2006:11:23 21:00:00,0,1,EN398,,,Col. traseira c/ veic. em mov.
Olhão,2006:12:12 16:02:00,0,1,A22,,"87,000",Desp.c/ col. c/ veic. imob. ou obst.
Olhão,2006:12:16 00:15:00,1,4,EN125,,"120,600",Col. traseira c/ veic. em mov.
Portimão,2006:01:12 11:35:00,0,1,EM531-1,,,Atropelamento peões
Portimão,2006:01:15 06:45:00,0,1,Estr. Monchique,,,Desp. c/ dispos. retenção
Portimão,2006:02:13 13:00:00,0,1,EM532,,,Desp. c/ capotamento
Portimão,2006:02:21 16:45:00,0,1,R. Barca,Atropelamento peões
Portimão,2006:03:07 08:00:00,0,1,Rot. Rodízio,Col.lat. c/ veic. em mov.
Portimão,2006:03:14 16:20:00,0,1,Av. Paul Harris,Col.lat. c/ veic. em mov.
Portimão,2006:03:26 07:30:00,0,1,Estr. Rodas,Desp. c/ capotamento
Portimão,2006:04:29 00:15:00,0,1,Av. Miguel B./Av. A. Henriques,Desp.c/ col. c/ veic. imob. ou obst.
Concelho,Datahora,M,FG,Via,km,Natureza
Portimão,2006:05:07 04:30:00,0,1,Estrada Municipal,,Desp. s/ dispos. retenção
Portimão,2006:06:08 01:35:00,0,1,Estrada Municipal,,Colisão frontal
Portimão,2006:06:24 02:25:00,0,2,Rot. Hospital,,Despiste simples
Portimão,2006:06:30 19:40:00,0,1,R. dos Oceanos,,Atropelamento peões
Portimão,2006:07:04 11:50:00,0,1,EN266,"56,038",Colisão frontal
Portimão,2006:07:21 23:55:00,0,2,EN125,"39,500",Colisão frontal
Portimão,2006:08:03 23:30:00,0,1,B. Cmdt Porterra,,Atropelamento c/ fuga
Portimão,2006:08:03 23:45:00,0,1,Av. V3,,Desp. c/ capotamento
Portimão,2006:08:06 04:50:00,0,1,IC4,"44,600",Despiste simples
Portimão,2006:08:22 12:05:00,0,1,EN266,"58,900",Despiste simples
Portimão,2006:08:23 17:20:00,0,1,R. Luis V. Camões/R. Pedra,,Col.lat. c/ veic. em mov.
Portimão,2006:08:29 14:00:00,0,1,Estr. Rocha,,Colisão c/ outras situações
Portimão,2006:09:06 01:10:00,0,1,Av. Eng. Francisco Bívar,,Despiste simples
Portimão,2006:09:12 14:30:00,0,1,Estrada Municipal,,Colisão frontal
Portimão,2006:09:12 17:15:00,0,1,EN125,,Atropelamento peões
Portimão,2006:09:15 19:30:00,0,1,Estrada Municipal,,Col.lat. c/ veic. em mov.
Portimão,2006:09:26 16:00:00,0,1,Estr. Rocha,,Atropelamento peões
Portimão,2006:10:08 00:40:00,0,1,Av. V3,,Atropelamento peões
Portimão,2006:11:09 18:55:00,0,1,Av. V6,,Atropelamento peões
Portimão,2006:11:13 20:15:00,0,1,Av. Paul Harris,,Desp.c/ col. c/ veic. imob. ou obst.
Portimão,2006:12:01 10:10:00,0,1,EN125,,Col.lat. c/ veic. em mov.
Portimão,2006:12:03 04:30:00,0,1,Av. Eng. Francisco Bívar,,Desp.c/ col. c/ veic. imob. ou obst.
Portimão,2006:12:11 00:00:00,0,1,Estrada Municipal,,Desp.c/ col. c/ veic. imob. ou obst.
Portimão,2006:12:12 19:45:00,0,1,Av. S. J. Deus/Av. Sá Carneiro,,Col.lat. c/ veic. em mov.
Portimão,2006:12:15 06:40:00,0,1,A22,"16,100",Desp. c/ capotamento
S. Brás de Alportel,2006:06:08 12:10:00,0,1,R. Aníbal Rosa Silva,,Col.lat. c/ veic. em mov.
S. Brás de Alportel,2006:06:19 13:00:00,0,1,EM513,,Despiste simples
S. Brás de Alportel,2006:07:21 19:50:00,0,1,EN270,"46,400",Col.lat. c/ veic. em mov.
S. Brás de Alportel,2006:07:27 15:00:00,0,1,EN2,"724,836",Colisão frontal
S. Brás de Alportel,2006:09:14 12:00:00,0,1,Estrada Municipal,,Colisão frontal
Silves,2006:01:01 15:10:00,0,1,Estrada Municipal,,Colisão frontal
Silves,2006:01:04 18:30:00,0,1,EN269,"16,600",Colisão frontal
Silves,2006:01:06 18:40:00,0,1,Estrada Municipal,,Atropelamento c/ fuga
Silves,2006:01:18 18:20:00,0,1,EN124,"1,300",Atropelamento peões
Silves,2006:01:24 16:15:00,0,1,R. Almeida Garrett,,Col.lat. c/ veic. em mov.
Silves,2006:01:27 17:10:00,0,1,R. Cândido dos Reis,,Atropelamento peões
Silves,2006:01:27 22:00:00,1,3,A2,"220,900",Desp. c/ capotamento
Silves,2006:02:25 17:40:00,0,1,A2,"219,000",Despiste simples
Silves,2006:02:25 17:40:00,1,0,A2,"219,000",Desp.c/ col. c/ veic. imob. ou obst.
Silves,2006:02:28 19:10:00,0,2,IC1,"734,800",Despiste simples
Silves,2006:03:19 17:45:00,1,1,A2,"226,456",Col.lat. c/ veic. em mov.
Silves,2006:04:06 23:40:00,0,4,EN269,"11,000",Col. traseira c/ veic. em mov.
Silves,2006:05:14 02:45:00,1,0,IC1,"707,500",Despiste simples
Silves,2006:05:26 06:30:00,0,1,IC1,"705,900",Col.lat. c/ veic. em mov.
Silves,2006:05:26 10:10:00,2,0,EN264,"95,300",Colisão frontal
Silves,2006:06:26 07:30:00,0,1,EM526,,Col. traseira c/ veic. em mov.
Silves,2006:07:07 18:30:00,0,1,Estrada Municipal,,Despiste simples
Silves,2006:07:20 16:00:00,0,1,A22,"29,400",Col. traseira c/ veic. em mov.
Silves,2006:07:22 10:00:00,0,1,IC1,"702,350",Col. traseira c/ veic. em mov.
Silves,2006:07:23 10:45:00,0,1,A2,"217,400",Despiste simples
Silves,2006:08:10 13:45:00,0,1,EM529,,Despiste simples
Silves,2006:08:19 18:40:00,0,1,Estrada Municipal,,Colisão frontal
Silves,2006:08:21 19:00:00,0,1,EN269,"11,300",Colisão c/ fuga
Silves,2006:09:04 07:55:00,0,1,A2,"216,900",Desp. c/ capotamento
Silves,2006:09:09 18:00:00,2,0,EM1171,,Desp.c/ col. c/ veic. imob. ou obst.
Silves,2006:09:16 17:30:00,0,3,A2,"226,400",Col. traseira c/ veic. em mov.
Silves,2006:09:17 03:30:00,1,0,IC1,"712,200",Despiste simples
Silves,2006:09:17 18:30:00,0,1,EN269,"10,500",Desp. s/ dispos. retenção
Concelho,Datahora,M,FG,,Via,km,Natureza
Silves,2006:10:07 17:00:00,0,1,A22,,"40,200",Despiste simples
Silves,2006:10:08 19:40:00,1,2,Estrada Municipal,,,Desp.c/ col. c/ veic. imob. ou obst.
Silves,2006:10:17 14:40:00,0,1,EN124,,"23,200",Colisão frontal
Silves,2006:10:19 15:55:00,0,1,EM526,,,Desp.c/ col. c/ veic. imob. ou obst.
Silves,2006:11:07 17:45:00,0,1,EN264,,"95,000",Colisão frontal
Silves,2006:11:29 07:25:00,0,1,R. 25 de Abril,,,Col.lat. c/ veic. em mov.
Silves,2006:12:14 23:40:00,0,1,EN269,,"17,600",Desp. c/ capotamento
Silves,2006:12:24 09:00:00,1,0,EM524,,,Atropelamento c/ fuga
Tavira,2006:03:12 21:50:00,0,1,EN125,,"138,800",Col. traseira c/ veic. em mov.
Tavira,2006:04:03 18:30:00,0,1,A22,,"111,200",Col. traseira c/ veic. em mov.
Tavira,2006:04:15 22:50:00,0,1,Estrada Municipal,,,Despiste simples
Tavira,2006:04:25 12:50:00,1,0,EN397,,"17,000",Desp. s/ dispos. retenção
Tavira,2006:05:28 21:30:00,0,2,R. 25 de Abril,,,Atropelamento peões
Tavira,2006:06:02 18:15:00,1,0,EN270,,"65,000",Atropelamento c/ fuga
Tavira,2006:06:16 22:00:00,0,1,EM516,,,Atropelamento c/ fuga
Tavira,2006:06:30 22:39:00,0,1,EM1238,,,Atropelamento c/ fuga
Tavira,2006:07:07 21:05:00,1,0,EM540,,,Colisão frontal
Tavira,2006:07:13 05:30:00,0,1,EN270,,"2,000",Desp.c/ transpos. disp. ret. lateral
Tavira,2006:07:22 06:30:00,0,1,EN125,,"126,650",Desp. c/ capotamento
Tavira,2006:07:23 15:55:00,0,2,EN270,,"57,200",Desp.c/ transpos. disp. ret. lateral
Tavira,2006:08:29 20:00:00,0,1,EM508,,,Desp. s/ dispos. retenção
Tavira,2006:09:02 18:45:00,0,1,R. Álvaro Campos,,,Colisão frontal
Tavira,2006:10:09 14:00:00,0,1,EN125,,"134,339",Desp. c/ capotamento
Tavira,2006:10:15 12:30:00,0,1,Lg. Igreja,,,Despiste simples
Tavira,2006:10:24 10:00:00,0,1,Estrada Municipal,,,Desp.c/ transpos. disp. ret. lateral
Tavira,2006:10:28 17:30:00,1,0,EN124,,"96,600",Despiste simples
