Concelho Datahora M* FG* Via,km,Natureza
Elvas 2007:05:31 12:35:00 0 1 AV BADAJOZ,,Atropelamento peões
Elvas 2007:06:08 18:50:00 0 1 Estrada Municipal,,Despiste simples
Elvas 2007:09:29 07:25:00 1 0 R MATADOURO,,Despiste simples
Elvas 2007:11:12 16:30:00 0 1 AV EUROPA,,Col. c/ veíc./obst. f. rodagem
Elvas 2007:12:01 00:30:00 0 1 R CAMPO MAIOR,,Col. c/ veíc./obst. f. rodagem
Elvas 2007:12:10 09:10:00 0 1 AV BADAJOZ,,Atropelamento peões
Fronteira 2007:07:15 14:50:00 0 1 EN243,"146,700",Despiste com capotamento
Gavião 2007:11:07 15:20:00 0 1 R FONTE,,Colisão frontal
Monforte 2007:02:28 17:20:00 0 2 EN369,"38,950",Colisão frontal
Monforte 2007:01:23 21:30:00 0 1 EN372,"51,500",Despiste com capotamento
Monforte 2007:03:11 16:45:00 0 2 EN243,"164,600",Despiste simples
Monforte 2007:01:18 08:20:00 3 5 IP2,"198,900",Col. lat. c/ outro veíc. mov.
Monforte 2007:04:24 11:15:00 0 2 IP2,"208,000",Despiste com capotamento
Nisa 2007:06:01 01:20:00 0 1 EN359,"55,873",Despiste simples
Nisa 2007:10:31 18:20:00 1 1 EN18,"142,350",Despiste c/ col c/ veíc. imob/obst.
Nisa 2007:02:17 03:00:00 0 1 IP2,"152,720",Despiste c/ transp. disp. ret. lateral
Nisa 2007:03:10 00:00:00 0 1 IP2,"152,720",Despiste c/ transp. disp. ret. lateral
Nisa 2007:01:02 09:00:00 0 1 IP2,"154,200",Col. lat. c/ outro veíc. mov.
Nisa 2007:07:27 11:30:00 0 1 LUGAR DEVESA,,Col. lat. c/ outro veíc. mov.
Ponte de Sôr 2007:06:16 18:15:00 0 1 EN244,"71,300",Despiste simples
Ponte de Sôr 2007:12:23 14:50:00 1 0 EN244,"72,200",Despiste com capotamento
Ponte de Sôr,2007:01:31 05:45:00,0,1,EN244,"75,400",Despiste com capotamento
Ponte de Sôr,2007:09:13 21:30:00,0,1,EN244,"99,400",Col. lat. c/ outro veíc. mov.
Ponte de Sôr,2007:02:01 19:05:00,1,0,EN2,"445,300",Col. lat. c/ outro veíc. mov.
Ponte de Sôr,2007:10:12 20:30:00,0,1,EN2,"462,366",Despiste c/ col c/ veíc. imob/obst.
Ponte de Sôr,2007:05:25 17:45:00,0,1,R CATARINA EUFEMIA,,Despiste c/ col c/ veíc. imob/obst.
Concelho,Datahora,M,FG,Via,km,Natureza
Ponte de Sôr,2007:06:09 06:20:00,0,1,R VAZ MONTEIRO,,Desp. c/ col c/ veíc. imob/obst.
Ponte de Sôr,2007:10:05 00:20:00,0,1,R FORNO,,Desp. c/ col c/ veíc. imob/obst.
Ponte de Sôr,2007:11:26 13:45:00,0,1,EM1061,,Despiste com capotamento
Portalegre,2007:05:29 09:07:00,0,1,EN246,"24,340",Col. lat. c/ outro veíc. mov.
Portalegre,2007:06:24 14:10:00,1,0,EN246,"28,400",Despiste com capotamento
Portalegre,2007:06:17 21:40:00,0,1,IP2,"172,850",Colisão frontal
Portalegre,2007:01:12 21:00:00,0,1,R D NUNO ALVARES PEREIRA,,Atropelamento peões
Portalegre,2007:02:11 03:10:00,0,1,AV DR FELICIANO FALCÃO,,Colisão frontal
Portalegre,2007:05:15 11:10:00,1,0,EN18,,Colisão com outras situações
Sousel,2007:04:01 23:00:00,1,0,EM372,"17,000",Col. tras. c/ outro veíc. mov.
Sousel,2007:12:19 19:15:00,0,1,EN245,"57,300",Colisão frontal
Sousel,2007:03:31 14:45:00,0,1,R ESCOLAS,,Atropelamento peões
