Concelho Datahora M* FG* Via,km,Natureza
Arganil 2006:02:16 00:15:00 1 0 Estrada Municipal,,Desp.c/ col. c/ veic. imob. ou obst.
Arganil 2006:09:08 09:55:00 0 1 EM544,,Atropelamento peões
Arganil 2006:10:28 10:15:00 1 0 EN344,"7,950",Col.c/ veic. ou obst. faixa rod.
Arganil 2006:12:14 13:12:00 0 2 EN344,"6,900",Colisão frontal
Arganil 2006:12:22 19:20:00 0 1 EN342,"91,100",Despiste simples
Cantanhede 2006:01:01 10:00:00 0 1 EM538,,Col. traseira c/ veic. em mov.
Cantanhede 2006:01:02 17:50:00 0 1 Av. Bombeiros Voluntários,,Col.lat. c/ veic. em mov.
Cantanhede 2006:03:02 08:45:00 0 1 R. Caveiros,,Col.lat. c/ veic. em mov.
Cantanhede 2006:03:20 15:15:00 1 0 EN234,"23,000",Colisão frontal
Cantanhede 2006:03:22 12:10:00 0 1 R. Lavadouro,,Despiste simples
Cantanhede 2006:04:05 08:00:00 0 1 EN335,"30,500",Despiste simples
Cantanhede 2006:05:25 12:50:00 1 0 EM1038,,Desp. c/ capotamento
Cantanhede 2006:05:30 07:55:00 1 0 EN234-1,"6,800",Col.lat. c/ veic. em mov.
Cantanhede 2006:05:31 19:10:00 0 1 R. Caveiros,,Colisão frontal
Cantanhede 2006:06:04 04:20:00 1 0 R. Principal,,Desp.c/ col. c/ veic. imob. ou obst.
Cantanhede 2006:06:11 22:45:00 0 1 R. Lagoa,,Despiste simples
Cantanhede 2006:07:05 22:58:00 0 1 R. Prof. Mota Pinto,,Col. traseira c/ veic. em mov.
Cantanhede 2006:07:22 21:30:00 0 1 Estrada Municipal,,Desp. c/ dispos. retenção
Cantanhede 2006:08:11 07:50:00 0 1 EN234,"19,550",Col.lat. c/ veic. em mov.
Cantanhede 2006:08:17 06:30:00 1 0 EM583,,Despiste simples
Cantanhede 2006:09:06 18:30:00 0 1 EN234-1,"12,100",Col. traseira c/ veic. em mov.
Cantanhede 2006:10:02 06:00:00 1 0 EN109,"95,600",Col.c/ veic. ou obst. faixa rod.
Cantanhede 2006:10:28 07:30:00 0 1 EN234,"16,800",Despiste simples
Cantanhede 2006:11:24 18:50:00 0 1 EN335,"39,350",Col. traseira c/ v eic. em mov.
Cantanhede 2006:12:14 20:00:00 0 1 EM583,,Desp. c/ capotamento
Cantanhede 2006:12:21 13:45:00 0 1 EN234,"25,000",Desp. s/ dispos. retenção
Coimbra 2006:01:13 13:45:00 0 1 R. Principal Vilarinho,,Atropelamento peões
Coimbra 2006:01:17 18:30:00 0 1 EN341,"39,140",Col.lat. c/ veic. em mov.
Coimbra 2006:01:18 15:35:00 0 1 R. Cidade Porteis,,Atropelamento peões
Coimbra 2006:02:05 18:20:00 0 1 A1,"189,100",Desp.c/ col. c/ veic. imob. ou obst.
Coimbra 2006:02:16 07:50:00 0 1 EM537,"10,300",Colisão frontal
Coimbra 2006:02:18 11:04:00 1 0 Av. Fernão Magalhães,,Atropelamento peões
Coimbra 2006:03:02 21:20:00 0 1 A1,"187,400",Desp. c/ dispos. retenção
Coimbra 2006:03:18 20:50:00 1 0 R. Carolina Miccaelis,,Atropelamento peões
Coimbra 2006:04:02 21:10:00 0 1 EN111,"28,250",Atropelamento peões
Coimbra 2006:04:06 12:45:00 0 1 A1,"199,200",Desp. c/ capotamento
Coimbra 2006:04:28 10:05:00 0 1 IP3,"43,500",Col.lat. c/ veic. em mov.
Coimbra 2006:05:09 11:00:00 0 1 R. Brasil,,Atropelamento c/ fuga
Coimbra 2006:06:10 23:15:00 0 1 EN1,"197,500",Col.c/ veic. ou obst. faixa rod.
Coimbra 2006:06:22 15:00:00 0 1 EN1,"198,800",Col.c/ veic. ou obst. faixa rod.
Coimbra 2006:07:13 11:10:00 0 1 R. 1o de Maio,,Atropelamento peões
Coimbra 2006:07:22 00:30:00 2 0 R. Principal,,Despiste simples
Coimbra 2006:08:13 07:10:00 1 0 Ladeira Paula,,Colisão c/ fuga
Coimbra 2006:09:21 08:00:00 0 1 EN1,"178,700",Colisão frontal
Coimbra 2006:09:21 10:16:00 0 1 Av. Gouveia Monteiro,,Desp.c/ col. c/ veic. imob. ou obst.
Coimbra 2006:10:01 21:45:00 0 1 EN336,"48,600",Colisão frontal
Coimbra 2006:10:27 09:00:00 0 1 Estrada Municipal,,Atropelamento peões
Coimbra 2006:11:10 14:05:00 0 1 Av. Emídio Navarro,,Atropelamento peões
Coimbra 2006:11:26 03:00:00 0 1 EM1171,,Despiste simples
Coimbra 2006:12:05 01:40:00 0 1 Av. Aristides Sousa Mendes,,Desp. c/ capotamento
Coimbra 2006:12:05 19:10:00 0 2 EN341,"39,200",Colisão frontal
Condeixa-a-Nova 2006:01:07 04:40:00 0 1 EN342,"32,100",Col.lat. c/ veic. em mov.
Condeixa-a-Nova,2006:03:15 16:00:00,0,1,IC3,"5,000",Colisão frontal
Condeixa-a-Nova,2006:04:12 16:36:00,0,1,EN1,"176,056",Despiste simples
Condeixa-a-Nova,2006:05:17 06:05:00,1,0,EN1,"173,300",Colisão frontal
Condeixa-a-Nova,2006:07:04 11:25:00,0,2,A1,"183,236",Desp. c/ dispos. retenção
Condeixa-a-Nova,2006:10:25 21:00:00,0,1,EN347,"29,700",Despiste simples
Penela,2006:09:30 03:47:00,0,1,IC3,"17,220",Desp. c/ capotamento
Penela,2006:10:19 15:20:00,0,1,EN110,,Despiste simples
Penela,2006:11:21 12:50:00,1,0,IC3,"25,840",Colisão frontal
Penela,2006:12:13 18:14:00,1,0,IC3,"16,200",Colisão frontal
Soure,2006:01:28 17:10:00,1,0,EM589,,Desp. s/ dispos. retenção
Concelho,Datahora,M,FG,,Via,km,Natureza
Soure,2006:02:22 13:30:00,0,1,EM589,,,Atropelamento peões
Soure,2006:05:21 14:30:00,1,0,R. Principal,,,Desp.c/ col. c/ veic. imob. ou obst.
Tábua,2006:03:03 09:05:00,0,2,EN17,,"61,270",Colisão frontal
Tábua,2006:06:06 19:20:00,0,1,EN234-6,,"4,600",Desp. c/ dispos. retenção
Tábua,2006:06:16 17:55:00,0,2,EN337,,"72,630",Col.lat. c/ veic. em mov.
Tábua,2006:07:28 13:45:00,1,0,EN17,,"69,500",Colisão frontal
Tábua,2006:08:05 19:00:00,0,1,Estrada Florestal,,,Desp.c/ col. c/ veic. imob. ou obst.
Vila Nova de Poiares,2006:04:30 15:55:00,0,2,EN17,,"25,730",Despiste simples
Vila Nova de Poiares,2006:05:21 00:35:00,0,1,Av. Manuel Carvalho Coelho,,Col.lat. c/ veic. em mov.
Vila Nova de Poiares,2006:07:02 06:00:00,0,1,EN17,"23,700",Despiste simples
Vila Nova de Poiares,2006:09:10 16:45:00,1,0,EN17,"27,100",Col.lat. c/ veic. em mov.
Vila Nova de Poiares,2006:10:15 20:00:00,1,0,EM1242,,Despiste simples
