Concelho,Datahora,M*,FG*,,Via,km,Natureza
Portel,2009:06:23 22:20:00,0,1,EN18,,"299,100",Despiste com capotamento
Portel,2009:04:15 14:15:00,0,1,IP2,,"310,088",Despiste com capotamento
Portel,2009:05:11 18:30:00,0,1,IP2,,"8,600",Despiste com capotamento
Portel,2009:04:13 20:30:00,0,1,Outra Via,,,Despiste simples
Portel,2009:08:15 21:55:00,0,1,ER384,,"15,100",Despiste simples
Redondo,2009:07:21 12:50:00,0,2,R MANUEL JOAQUIM SILVA,,,Atropelamento de peões
Redondo,2009:02:14 13:45:00,0,1,Outra Via,,,Atropelamento de peões
Redondo,2009:11:07 03:40:00,0,1,ER,,,Despiste com capotamento
Redondo,2009:05:30 15:30:00,0,1,EM1154,,,Despiste simples
Redondo,2009:09:13 06:20:00,1,0,EN381,,"33,086",Despiste simples
Reg. Monsaraz,2009:02:08 21:40:00,0,1,PC LIBERDADE,,,Atropelamento de peões
Reg. Monsaraz,2009:07:08 16:25:00,0,1,ER255,,"55,700",Colisão frontal
Reg. Monsaraz,2009:03:08 21:45:00,1,3,ER381,,"51,115",Colisão frontal
Reg. Monsaraz,2009:02:20 23:45:00,0,1,ER381,,"50,700",Despiste com capotamento
Vendas Novas,2009:07:22 22:45:00,0,1,AV REPUBLICA,,,Atropelamento de peões
Vendas Novas,2009:09:24 14:50:00,1,0,EN4,,"62,820",Atropelamento de peões
Vendas Novas,2009:02:19 15:20:00,1,0,AV 25 ABRIL,,,Colisão lateral
Vendas Novas,2009:07:27 18:30:00,1,0,A6,,"11,000",Colisão lateral
Vendas Novas,2009:03:04 19:40:00,0,1,A6,,"10,000",Colisão traseira
Vendas Novas,2009:02:14 21:08:00,1,0,A6,,"3,012",Colisão traseira
"",,,,,,,Desp. com colisão veíc.
Vendas Novas,2009:09:01 21:15:00,0,1,AV 25 ABRIL,,,imob./obst.
"",,,,,,,Desp. com transp. disp. retenção
Vendas Novas,2009:07:01 15:00:00,0,3,A6,,"13,000",lateral
Vendas Novas,2009:06:26 06:00:00,0,1,A6,,"15,430",Despiste sem disp. retenção
Vendas Novas,2009:07:18 21:30:00,0,2,EST MONTE BRANCO,,,Despiste simples
Viana Alentejo,2009:07:05 01:40:00,0,1,EN257,,"14,250",Despiste com capotamento
"",,,,,,,Colisão com veic./obst. faixa
Vila Viçosa,2009:11:18 00:30:00,0,1,AV ALANDROAL,,,rodagem
Vila Viçosa,2009:10:17 16:30:00,0,1,EN255,,"10,950",Colisão lateral
"",,28,74,,,,
