Concelho,Datahora,M*,FG*,,Via,km,Natureza
Vila do Conde,2008-09-26 05:00,1,0,R PINDELO 149,,Atropelamento de peões
"",,,,AV ANTONIO SANTO,,
Vila do Conde,2008-09-10 14:45,0,1,,,Atropelamento de peões
"",,,,MATEUS JUNIOR 89,,
Vila do Conde,2008-08-31 09:45,0,1,R EST VELHA 220,,Atropelamento de peões
"",,,,AV MOUZINHO,,
Vila do Conde,2008-08-07 08:20,0,1,,,Atropelamento de peões
"",,,,ALBUQUERQUE,,
Vila do Conde,2008-03-20 20:30,0,1,AV PORTAS FRONHAS 70,,Atropelamento de peões
Vila do Conde,2008-02-08 09:15,0,1,R LAGIELAS 21,,Atropelamento de peões
Vila do Conde,2008-06-25 11:10,0,1,EN13,"16,625",Atropelamento de peões
"",,,,R DOS DESCOBRIMENTOS,,
Vila do Conde,2008-07-20 14:30,0,1,,,Atropelamento de peões
"",,,,113,,
V. N. de Gaia,2008-11-24 13:10,0,2,R GONDEZENDE 131,,Colisão frontal
V. N. de Gaia,2008-08-11 08:20,0,1,EM109-2,"12,100",Despiste c/ capotamento
V. N. de Gaia,2008-07-16 17:14,0,1,A1,"291,740",Despiste c/ capotamento
V. N. de Gaia,2008-08-19 10:50,0,1,A20,"1,320",Despiste c/ capotamento
V. N. de Gaia,2008-07-05 02:00,1,0,A29,"48,590",Desp. c/transp. disp. ret. lateral
V. N. de Gaia,2008-07-25 05:30,0,1,A1,"294,440",Desp. c/transp. disp. ret. lateral
V. N. de Gaia,2008-07-25 12:47,2,0,A1,"287,790",Desp. c/transp. disp. ret. lateral
V. N. de Gaia,2008-06-24 22:00,0,2,R FOFIM 10,,Despiste simples
V. N. de Gaia,2008-12-14 19:55,1,0,EN1,"294,830",Atropelamento com fuga
V. N. de Gaia,2008-01-30 09:05,0,1,R CENTRAL OLIVAL 2542,,Atropelamento com fuga
V. N. de Gaia,2008-09-05 09:45,0,1,EN222,"13,700",Atropelamento de peões
V. N. de Gaia,2008-12-14 19:30,1,0,EN1,"291,418",Atropelamento de peões
V. N. de Gaia,2008-12-18 23:15,1,0,A29,"47,200",Atropelamento de peões
"",,,,R COMBATENTES DO,,
V. N. de Gaia,2008-04-11 11:30,0,1,,,Atropelamento de peões
"",,,,ULTRAMAR,,
V. N. de Gaia,2008-03-20 09:55,0,1,R JARDIM 1226,,Atropelamento de peões
V. N. de Gaia,2008-02-28 18:15,0,1,R HEROIS PATRIA 1200,,Atropelamento de peões
V. N. de Gaia,2008-01-31 13:35,0,1,R PADUA CORREIA,,Atropelamento de peões
V. N. de Gaia,2008-12-09 18:20,0,1,R ALVARES CABRAL,,Atropelamento de peões
V. N. de Gaia,2008-11-23 22:00,0,1,R CABECAIS PEDROSO 69,,Atropelamento de peões
V. N. de Gaia,2008-03-15 03:25,0,2,AV BEIRA MAR,,Colisão c/veic./obst. f. rodagem
V. N. de Gaia,2008-06-01 20:00,0,1,EN109,"15,000",Colisão lat. c/outro veíc. mov.
V. N. de Gaia,2008-08-14 21:45,0,1,EN222,"9,020",Colisão lat. c/outro veíc. mov.
V. N. de Gaia,2008-02-10 18:30,0,1,R IGREJA 632,,Colisão lat. c/outro veíc. mov.
V. N. de Gaia,2008-02-28 08:30,1,0,AV JOÃO PAULO II 800,,Colisão lat. c/outro veíc. mov.
V. N. de Gaia,2008-11-16 12:25,1,0,R LUIS CAMOES 423,,Colisão lat. c/outro veíc. mov.
V. N. de Gaia,2008-12-08 23:10,0,1,R CAP. SALGUEIRO MAIA,,Colisão lat. c/outro veíc. mov.
V. N. de Gaia,2008-01-05 14:00,0,1,EN222,"13,400",Colisão frontal
V. N. de Gaia,2008-04-12 08:30,0,1,EN222,"11,800",Colisão frontal
V. N. de Gaia,2008-01-11 15:20,0,1,R AMEAL 454,,Colisão frontal
V. N. de Gaia,2008-06-14 21:15,0,1,R FONTE JARDIM 277,,Colisão frontal
V. N. de Gaia,2008-06-20 15:50,0,1,R SACADURA CABRAL 1328,,Colisão frontal
V. N. de Gaia,2008-12-26 20:40,0,1,R ESPIRITO SANTO 6,,Colisão frontal
V. N. de Gaia,2008-12-25 12:10,0,1,AV VASCO DA GAMA 121,,Colisão frontal
"",,87,291,,,
