"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Alcobaca 2006:01:01 20:35:00 0 2 R. Principal,,Desp. c/ capotamento
Alcobaca 2006:01:03 03:00:00 0 1 R Cinzeira,,Desp.c/col.c/ veíc.imob.ou obst.
Alcobaca 2006:01:30 15:10:00 0 1 Estrada Florestal,,Despiste simples
Alcobaca 2006:02:07 14:20:00 0 1 EN1,"97,640",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:02:15 10:45:00 0 1 IC2,"94,200",Col.tras.c/outro veíc.em mov.
Alcobaca 2006:02:24 21:30:00 0 1 R Estr Pataias,,Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:03:12 11:00:00 0 2 EN1,"92,995",Despiste simples
Alcobaca 2006:03:21 12:35:00 1 0 A8,"115,300",Desp.c/transp.do disp.de ret.lat.
Alcobaca 2006:05:03 21:30:00 0 1 EN8-6,"17,150",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:05:06 08:50:00 0 1 EM1335,,Despiste simples
Alcobaca 2006:05:14 21:45:00 0 2 R Sto António,,Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:05:20 01:00:00 0 2 R 4 Julho,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:06:03 15:30:00 0 1 Estrada Municipal,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:06:04 19:00:00 0 1 EM1326,,Despiste simples
Alcobaca 2006:06:25 18:30:00 0 2 Estrada Municipal,,Colisão com outras situações
Alcobaca 2006:07:08 19:15:00 0 1 R Escola,,Despiste simples
Alcobaca 2006:07:11 21:30:00 0 2 EM588,,Colisão frontal
Alcobaca 2006:07:15 20:30:00 0 1 EM1338,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:07:24 09:00:00 0 1 EN8,"112,000",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:07:28 18:30:00 0 1 EM1430,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:08:04 16:00:00 1 0 EN1,"85,100",Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:09:01 18:30:00 1 0 Av. N. Sra. Vitória,,Atrop.de peões
Alcobaca 2006:09:09 15:00:00 0 1 Ladeira do Goto,,Desp.s/disposi.de ret.
Alcobaca 2006:09:25 07:50:00 0 1 EM558,,Desp.c/col.c/veíc.imobil.ou obst.
Alcobaca 2006:09:26 20:00:00 0 1 EN1,"83,300",Col.lat.c/outro veíc.em mov.
Alcobaca 2006:10:02 08:30:00 0 1 EM1318,,Atrop.de peões
Alcobaca 2006:10:04 09:30:00 0 1 EM1318,,Desp.c/transp.do disp.de ret.lat.
Alcobaca 2006:11:12 19:10:00 1 0 R Filarmónica,,Atrop.de peões
Alcobaca 2006:11:24 17:35:00 0 1 R. Manuel silva Carolino,,Atrop.de peões
Alcobaca 2006:12:05 19:15:00 0 1 Pç. 25 Abril,,Col.lat.c/outro veíc.em mov.
Alcobaca 2006:12:06 12:30:00 0 1 R. Sta Marta,,Colisão com outras situações
Alcobaca 2006:12:22 00:30:00 0 1 Cabeço de Deus,,Desp. c/ capotamento
Alcobaca 2006:12:24 18:50:00 1 0 Estr. Pisões,,Atrop.de peões
Alvaiazere 2006:04:04 13:25:00 0 1 R Conselheiro furtado Santos,,Col.lat.c/outro veíc.em mov.
Alvaiazere 2006:04:29 20:10:00 0 6 EN110,"75,400",Colisão frontal
Alvaiazere 2006:08:23 16:00:00 0 1 EN110,"75,070",Col.lat.c/outro veíc.em mov.
Ansião 2006:03:15 18:00:00 0 1 R Escola,,Col.lat.c/outro veíc.em mov.
Ansião 2006:05:11 16:30:00 0 1 EM1087,,Despiste simples
Ansião 2006:05:22 12:20:00 0 1 EN348,"41,890",Colisão com outras situações
Ansião 2006:08:22 11:00:00 0 1 Portela,,Despiste simples
Ansião 2006:08:31 18:25:00 0 1 R. Vila,,Atrop.de peões
Ansião 2006:12:07 04:20:00 1 0 IC8,"70,500",Colisão frontal
Batalha 2006:04:06 03:20:00 0 1 EM545,,Desp.c/col.c/veíc.imobil.ou obst.
Batalha 2006:09:05 20:30:00 0 1 EN356-2,,Col.lat.c/outro veíc.em mov.
Batalha 2006:09:20 20:00:00 1 0 Estr. Casal Relvas,,Col.c/veic.ou obst.na fx.de rod.
Batalha 2006:09:27 13:30:00 0 1 R. 1 Zona Industrial,,Colisão frontal
Batalha 2006:12:17 16:20:00 0 1 EN356,"14,600",Desp. c/dispositivo de retenção
Bombarral 2006:04:20 07:30:00 0 2 A8,"57,800",Desp.c/transp.do disp.de ret.lat.
Bombarral 2006:06:11 07:50:00 0 3 A8,"65,900",Desp. c/ capotamento
Bombarral 2006:06:14 08:15:00 0 1 EN8,"67,000",Col.lat.c/outro veíc.em mov.
Bombarral 2006:06:21 04:30:00 0 1 EM569-1,"0,010",Desp.s/disposi.de ret.
Bombarral 2006:07:16 11:30:00 0 3 EN361,"10,300",Colisão frontal
Bombarral 2006:11:03 20:45:00 1 0 EM584,,Col.c/veic.ou obst.na fx.de rod.
Bombarral 2006:11:15 14:45:00 0 1 A8,"68,700",Desp. c/ capotamento
Caldas da Rainha 2006:01:14 17:10:00 0 1 EM567,,Colisão frontal
"",,,,,,
"",,,,,,
Concelho,Datahora,M*,FG*,Via,km,Natureza
Marinha Grande,2006:01:29 10:50:00,0,1,R 1o de Abril c/ Est. Guilhermes,,Despiste simples
Marinha Grande,2006:04:01 04:50:00,1,0,Est.Vieira Leiria,,Desp. c/ capotamento
Marinha Grande,2006:04:01 22:15:00,1,0,EN349,"3,800",Col.lat.c/outro veíc.em mov.
Marinha Grande,2006:06:14 13:40:00,0,1,EM535,,Col.lat.c/outro veíc.em mov.
Marinha Grande,2006:07:13 13:40:00,0,1,Av. 1 Maio,,Col.lat.c/outro veíc.em mov.
Marinha Grande,2006:07:18 20:50:00,0,1,R. Lamarão,,Col.lat.c/outro veíc.em mov.
Marinha Grande,2006:07:20 01:30:00,0,1,Av. Lucio Tomé Ferreira,,Desp.c/col.c/veíc.imobil.ou obst.
Marinha Grande,2006:07:24 22:20:00,1,0,R. Angolar/R. Laranjeiras,,Col.lat.c/outro veíc.em mov.
Marinha Grande,2006:07:28 14:05:00,0,1,R. Lamarão,,Colisão frontal
Marinha Grande,2006:10:15 11:45:00,0,1,Estrada Municipal,,Despiste simples
Marinha Grande,2006:10:26 15:17:00,0,1,EN242-2,"3,200",Colisão frontal
Marinha Grande,2006:11:17 12:30:00,0,1,Est. Nazaré,,Col.tras.c/outro veíc.em mov.
Marinha Grande,2006:12:09 15:00:00,1,0,R. Lamação/Tv. R. Poços,,Colisão frontal
Nazaré,2006:01:09 16:20:00,0,1,EN8-5,"5,150",Col.lat.c/outro veíc.em mov.
Nazaré,2006:01:30 19:30:00,0,1,EN242,"31,100",Col.c/veic.ou obst.na fx.de rod.
Nazaré,2006:06:04 12:50:00,0,1,EN242,"39,400",Desp.c/col.c/veíc.imobil.ou obst.
Nazaré,2006:07:05 15:20:00,0,1,A8,"107,300",Col.tras.c/outro veíc.em mov.
Nazaré,2006:07:15 16:00:00,1,0,A8,"108,658",Desp. c/ capotamento
Nazaré,2006:08:28 15:15:00,0,1,EN242,,Col.tras.c/outro veíc.em mov.
Nazaré,2006:10:19 10:30:00,0,1,Estrada Municipal,,Colisão frontal
Nazaré,2006:10:20 22:45:00,1,1,EN8-5,"7,900",Colisão frontal
Nazaré,2006:11:19 04:30:00,1,1,EM1285,,Desp.c/col.c/veíc.imobil.ou obst.
"Óbidos",2006:01:31 22:30:00,0,1,A8,"74,070",Col.tras.c/outro veíc.em mov.
"Óbidos",2006:04:29 17:10:00,1,0,EM573,,Col.lat.c/outro veíc.em mov.
"Óbidos",2006:05:10 15:00:00,0,1,EM1412,,Desp.s/disposi.de ret.
"Óbidos",2006:06:05 09:10:00,1,2,EN114,"15,700",Colisão frontal
"Óbidos",2006:06:11 00:20:00,0,1,EN114,"20,300",Despiste simples
"Óbidos",2006:10:19 10:15:00,1,0,EM585,,Col.lat.c/outro veíc.em mov.
Pedrogão Grande,2006:04:02 04:25:00,1,0,IC8,"86,900",Despiste simples
Pedrogão Grande,2006:04:30 12:45:00,1,0,EN236-1,"6,920",Col.lat.c/outro veíc.em mov.
Pedrogão Grande,2006:11:06 14:05:00,0,1,IC8,"90,200",Col.lat.c/outro veíc.em mov.
Pedrogão Grande,2006:12:30 06:20:00,0,1,IC8,"81,800",Colisão frontal
Pedrogão Grande,2006:12:30 07:27:00,0,1,IC8,"81,800",Col.c/veic.ou obst.na fx.de rod.
Peniche,2006:01:26 11:30:00,0,1,EN247,"5,000",Col.tras.c/outro veíc.em mov.
Peniche,2006:02:12 00:10:00,0,1,EM1404,,Desp.c/col.c/veíc.imobil.ou obst.
Peniche,2006:02:20 09:30:00,1,0,Av.Mons.M.B.Rod.Sousa,,Colisão frontal
Peniche,2006:06:03 10:45:00,0,1,Estrada Municipal,,Despiste simples
Peniche,2006:06:15 06:00:00,1,1,IP6,"6,600",Colisão frontal
Peniche,2006:07:16 07:00:00,0,1,Av. do Mar,,Despiste simples
Pombal,2006:01:18 18:40:00,0,1,EN1,"146,800",Colisão frontal
Pombal,2006:01:27 07:20:00,1,0,R. Marquês de Pombal,,Atrop.de peões
Pombal,2006:02:19 22:05:00,0,1,EN1,"137,100",Atrop.de peões
Pombal,2006:02:24 13:00:00,1,0,EN1,"137,825",Colisão frontal
Pombal,2006:03:09 21:20:00,0,1,EN109,"142,950",Atrop.de peões
Pombal,2006:03:17 07:45:00,1,0,EN1,"160,740",Col.c/veic.ou obst.na fx.de rod.
Pombal,2006:03:22 03:10:00,1,0,A1,"146,900",Despiste simples
Pombal,2006:04:21 16:10:00,0,1,EN1,"157,550",Col.lat.c/outro veíc.em mov.
Pombal,2006:04:26 10:00:00,1,2,EN1,"147,890",Colisão frontal
Pombal,2006:06:24 17:30:00,0,1,R. Março,,Desp.c/col.c/veíc.imobil.ou obst.
Pombal,2006:07:01 03:55:00,0,1,EN1,"147,400",Despiste simples
Pombal,2006:07:15 23:55:00,1,0,EN237,"12,500",Colisão frontal
Pombal,2006:07:30 07:40:00,0,1,EM1071,,Col.lat.c/outro veíc.em mov.
Pombal,2006:08:09 22:15:00,0,1,R. Prof. Mota Pinto,,Despiste simples
Pombal,2006:08:21 17:55:00,1,0,R. Principal,,Col.lat.c/outro veíc.em mov.
Pombal,2006:08:23 14:05:00,1,0,EN109,"137,600",Col.lat.c/outro veíc.em mov.
Pombal,2006:08:25 18:40:00,0,1,Estrada Municipal,,Despiste simples
Pombal,2006:08:30 16:05:00,1,2,EN1,"143,200",Colisão frontal
Pombal,2006:09:06 17:00:00,0,1,EN1,"150,700",Despiste simples
Pombal,2006:10:05 01:15:00,1,2,EN1,"142,600",Desp.c/col.c/veíc.imobil.ou obst.
Pombal,2006:10:18 14:10:00,0,1,R. Principal,,Atrop.de peões
Pombal,2006:11:02 10:30:00,1,0,IC2,"149,200",Atrop.de peões
Pombal,2006:11:04 08:00:00,0,1,Santorium,,Colisão frontal
Pombal,2006:11:07 17:30:00,0,1,EN109,"136,500",Despiste simples
Pombal,2006:11:17 19:55:00,0,1,R. Manuel Mota,,Colisão frontal
Pombal,2006:11:23 21:40:00,0,1,EN1,,"137,100",Despiste com fuga
Pombal,2006:11:24 17:30:00,0,1,EN1,,"144,700",Colisão frontal
Pombal,2006:12:16 19:30:00,0,1,EN237-1,,,Colisão com fuga
Pombal,2006:12:20 10:30:00,1,0,IC8,,"48,350",Col.lat.c/outro veíc.em mov.
Pombal,2006:12:21 12:45:00,0,1,EN1,,"151,024",Col.tras.c/outro veíc.em mov.
Pombal,2006:12:28 00:20:00,1,0,EN1,,"158,800",Col.tras.c/outro veíc.em mov.
Porto de Mos,2006:03:07 02:15:00,1,0,EN1,,"101,600",Desp. c/ capotamento
Porto de Mos,2006:03:08 20:25:00,0,1,EN8,,"128,000",Col.lat.c/outro veíc.em mov.
Porto de Mos,2006:04:22 23:00:00,0,2,EM506,,,Desp. c/ capotamento
Porto de Mos,2006:05:05 21:15:00,0,2,R. Principal,,,Atrop.de peões
Porto de Mos,2006:05:13 07:15:00,0,1,EM547-2,,,Desp. c/ capotamento
Porto de Mos,2006:05:14 01:30:00,0,1,EN362,,"16,700",Colisão frontal
Porto de Mos,2006:06:26 17:10:00,0,1,EN1,,"102,300",Colisão frontal
Porto de Mos,2006:07:17 12:35:00,0,1,EN1,,"104,828",Atrop.de peões
Porto de Mos,2006:07:28 18:28:00,0,1,EN243,,"1,300",Col.lat.c/outro veíc.em mov.
Porto de Mos,2006:08:21 23:30:00,1,0,Estrada Municipal,,,Desp. c/ capotamento
Porto de Mos,2006:09:16 18:30:00,0,1,EM506,,,Desp. c/ capotamento
Porto de Mos,2006:09:30 04:15:00,0,1,EN362,,"7,000",Desp. c/ capotamento
Porto de Mos,2006:10:09 12:58:00,1,0,R. Candeeiros,,,Desp. c/ capotamento
Total,,67,221,,,,
