"",,
11. Listagem dos acidentes com mortos e/ou feridos graves,,
"",,
Concelho Datahora M* FG* Via,km,Natureza
Viana do Castelo,2007:09:26 15:30:00,0,1,EN202,,"9,800",Despiste simples
Viana do Castelo,2007:11:08 18:15:00,0,1,EN305,,"31,500",Col. lat. c/ outro veíc. mov.
Viana do Castelo,2007:02:19 15:35:00,0,2,EN302,,"38,700",Colisão frontal
Viana do Castelo,2007:05:27 21:00:00,0,2,EN13,,"56,500",Despiste simples
Viana do Castelo,2007:05:05 04:10:00,0,1,AL 5 OUTUBRO,,,Despiste s/ disp. retenção
Viana do Castelo,2007:05:16 00:30:00,0,1,R SOBREIROS,,,Desp. c/ col c/ veíc. imob/obst.
Viana do Castelo,2007:05:23 19:20:00,0,1,AV PROVENÇA,,,Atropelamento peões
Viana do Castelo,2007:06:20 16:00:00,0,1,AV PEDRO VI,,,Despiste simples
Viana do Castelo,2007:07:05 09:40:00,1,0,EM540,,,Colisão frontal
Viana do Castelo,2007:08:16 11:40:00,0,1,R ESTRADA VELHA,Atropelamento peões
Viana do Castelo,2007:11:24 21:00:00,1,0,R SOBREIROS,Despiste simples
Viana do Castelo,2007:12:29 09:30:00,0,1,R 9 JULHO,Col. lat. c/ outro veíc. mov.
"",,24,61,,
